date,username,content,replyCount,likeCount,retweetCount
2021-02-07 21:28:12+00:00,MamaHolistica,"Tweet your favorite part about https://t.co/TvYxgWJOiZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes
😉",0,0,0
2021-02-07 21:26:21+00:00,CensieJ,Have you done this yet?? Tweet your favorite part about https://t.co/jhVoulpJcZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:25:38+00:00,Candypo,Tweet your favorite part about https://t.co/BM7q9d7RAj including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:23:45+00:00,MidlifeHealthy,Reminder tweet your favorite part about https://t.co/s1D99fHbpy including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:23:20+00:00,LifeWithKathy,Tweet your favorite part about https://t.co/fcTAAEyGUf including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:23:01+00:00,EmilyReviewsCom,Tweet your MOST favorite part about https://t.co/9w3IBr7tTa including the hashtag #GuacFromMexico and you will get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:23:00+00:00,teenybod,Tweet your favorite part about https://t.co/1At2khwGZs including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:23:00+00:00,MamacitaOTM,Tweet your favorite part about https://t.co/zBC8coiJ7F including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #Guac #SBLV #ad #sweepstakes @avosfrommexico #Avocados @MomItForward @ForwardIM #Avocado,0,0,0
2021-02-07 21:23:00+00:00,EvrydayShortcut,Tweet your favorite part about https://t.co/TJUckjIKoF including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes #avocado #avocados #guac,0,0,1
2021-02-07 21:23:00+00:00,DeliciouslySavv,🎉Tweet your favorite part about https://t.co/SzGtswxehn including the hashtag #GuacFromMexico and get a chance to win $1 Million💰💰💰💰💰💰💰! #gno #GuacFromMexico #SBLV #ad #sweepstakes https://t.co/xliZmeK61c,0,0,0
2021-02-07 21:20:51+00:00,MamaHolistica,"Tweet your favorite part about https://t.co/TvYxgWJOiZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes
👍",0,0,0
2021-02-07 21:19:08+00:00,Candypo,Tweet your favorite part about https://t.co/BM7q9d7RAj including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes #guac #avocado,0,0,0
2021-02-07 21:15:02+00:00,CensieJ,"Do this NOW!!  

Tweet your favorite part about https://t.co/jhVoulpJcZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes",0,0,0
2021-02-07 21:14:05+00:00,LifeWithKathy,.Tweet your favorite part about https://t.co/fcTAAEyGUf including the hashtag #GuacFromMexico and get a chance to win $1 Million!! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:14:00+00:00,DeliciouslySavv,Tweet your favorite part about https://t.co/SzGtswxehn including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes https://t.co/9Dal9hinfp,0,1,0
2021-02-07 21:13:28+00:00,MidlifeHealthy,Please tweet your favorite part about https://t.co/s1D99fHbpy including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:13:00+00:00,EmilyReviewsCom,Tweet your favorite part about https://t.co/9w3IBr7tTa including the hashtag #GuacFromMexico and you can get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:13:00+00:00,ItsFreeAtLast,Tweet your favorite part about https://t.co/4kyOAganmT including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:13:00+00:00,SJBlahBlahBlog,Tweet your favorite part about https://t.co/8OQzLJa9Q0 including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes #guac,0,0,0
2021-02-07 21:13:00+00:00,MamacitaOTM,Tweet your favorite part about https://t.co/zBC8coiJ7F including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes @avosfrommexico @MomItForward @ForwardIM #Avocado #Avocados #Guac,0,0,0
