date,username,content,replyCount,likeCount,retweetCount
2022-05-06 05:14:34+00:00,toddfmaki,"In a coin race: 1st to reach $1000 dollars, who wins?
#hashtag your answer below 👇🏼
       #DCR
       #LTC 
       #ZEC
       #DASH",5,10,0
2021-07-10 15:43:17+00:00,MrTurnip_Head,"Who think's it's worth it to spend as much as $1million out of our ~treasury~ for #deCRED &amp;/or #DCR hashtags to have twitter custom emoji of our coin printed behind the hashtag just like when we type #Bitcoin &amp; see that gold slanted ""B"" with two lines?

https://t.co/AatznGVmaq",4,1,1
2020-08-10 22:37:53+00:00,DrDanDCR,Need life advice? Taking questions using the hashtag #AskDrDan or on the voice line! (754)CallDCR! #DCR #RuleNumber1 #DabbleorDo #KeysToSuccess,1,7,5
2019-10-28 22:28:07+00:00,eliandecrypto,@michae2xl Now!! Check out the hashtag #DecredenArgentina 🇦🇷 #DCR https://t.co/k8qckOUWIi,1,2,0
