date,username,content,replyCount,likeCount,retweetCount
date,username,content,replyCount,likeCount,retweetCount
2021-02-22 19:07:43+00:00,MakeItCommon,"(A thread) WHAT ARE YOUR OPINIONS

QT your thoughts on the clips below use the hashtag #BTG ‼️

We will add different clips to this thread consistently ⬇️",2,0,0
