date,username,content,replyCount,likeCount,retweetCount
2022-01-09 17:49:29+00:00,Kenneth97748083,#ICP - #USDT - 4HR / Not Financial Advice. Looks like a Cup and Handle Pattern forming. / I love how #ICP has the little Symbol with the hashtag. https://t.co/t6cgAw0tMY,0,18,4
2021-10-29 13:10:00+00:00,CoinMarketCap,"😱 Let’s Play a Game 😈
 
Post Your Scariest 👻 or Funniest 😂
Halloween Themed Meme
Win $500 #USDT Prize Pool (3 Winners)
 
🎃 Retweet &amp; Like this Post
🎃 Tag 3 Friends
🎃 Add #Spooktober #CoinMarketCap Hashtag
🎃 Extra Points for Creativity
 
Deadline Oct 31st (23:59 UTC) https://t.co/MnS4bAJLp0",1214,1902,1182
2021-10-25 15:21:50+00:00,Bitsgap,"This #AVA/USDT trading setup has been working for 16 days straight and generating solid 1% revenue daily! That's #USDT 80 profit so far!

Check out the bot's specs via the link below and share your best-performing results  with #bitsgap_mm hashtag!

https://t.co/Ad2d3w8x0E https://t.co/qaAQL4FMTN",1,6,0
2021-10-19 11:58:38+00:00,NFT_World_News,"Giveaway time! 🔥🔥🔥
10k followers ➡️ 100 USDT split among 5 people 😎

To join:
1. Follow our Twitter account
2. Like this post
3. Retweet this post 
4. Comment this post with hashtag of #NFT you own.

Winners announcement: 22.10. 17:00 
#giveaway #competition #usdt #win https://t.co/R0ZPzoSAK7",123,106,99
2021-10-13 14:03:51+00:00,qorpomarket,"WE WILL SPLIT 200 USDT TO 10 OF YOU WHO 🤑💸

1. Follow our Twitter account - https://t.co/TcOOMTFjtd
2. Like this post
3. Retweet this post 
4. Comment this post with hashtag #qorpomarket 

👉 We will choose the winners on 18.10.2021 
#giveaway #competition #usdt #win #follow https://t.co/9I7VjrRWac",262,248,225
2021-09-04 21:57:28+00:00,Aiden_Valentine,"Also -- look at the hashtag #Tether right now.
#USDT is basically a nuclear bomb waiting to go off and will drop the prices of every cryptocurrency when this scheme collapses.
This news makes it one of the biggest scams in history. To the tune of many *billions* of dollars.",0,0,0
2021-08-16 06:27:09+00:00,SirWhenAirdrop,"$20 worth of USDT #giveaway 

1. RT with hashtag #giveaway #chance
2. Like this tweet

Winner picked in 24 hours

#bounty #giveawayalert #giveaways #win #gift #crypto #USDT",14,54,55
2021-08-07 07:33:39+00:00,Alviah334,"@CryptoGPO Go To Join #YOCO Community, Link: 
Let's kick off the week by using the hashtag #YOCO and getting Yocoin trending on Twitter.  1,000 RT will get 1 winner $20—Let's make some noise, Yoconauts!! 🚀💎 #Yocoarmy #BSCGems  #Crypto #USDT",0,0,0
2021-08-05 07:22:03+00:00,KuCoinItalia,"#KuCoinSpotlight day with @LithiumFinance @kucoincom

Let's celebrate with a red envelope 🧧🧧

1️⃣ Go to link 👉 https://t.co/0tdMh9Tl2r and post a message with hashtag #Lithium 
2️⃣ reach 150 cumulative tag entries to trigger a big #USDT red letter 💸💪
#KuCoin 🇮🇹
#newlisting https://t.co/mam9SWZjEx",1,8,1
2021-08-03 00:06:38+00:00,YocoinY,"Let's kick off the week by using the hashtag #YOCO and getting Yocoin trending on Twitter.  1,000 RT will get 1 winner $20—Let's make some noise, Yoconauts!! 🚀💎 #Yocoarmy #BSCGems  #Crypto #USDT",30,43,28
2021-05-23 19:51:07+00:00,BizWrld,"@TheNewz1994 @Immediateproper What he ^  said.

#realestate is HOT right now! It's even a top trending #hashtag!

Big industry $MDCN @Immediateproper will dominate in:

#vacation #Rental Market Size Worth $113.9 Billion by 2027 | CAGR: 3.4%: $115billion in 2019!

#property
#USDT
#SharedSpaces 
$abnb
$h
$m https://t.co/jZFfoFJSfz",0,7,3
2021-05-16 10:50:24+00:00,IotaBullrun2020,"Let's catapult $IOTA into the global Twitter trends.

Come on, you know what to do❗️

Retweet this &amp; reply with the hashtag: 

#IOTA #USDT #BTC

I want to see 1.000 retweets and hashtags❗️

Don't say you want to promote IOTA / #MIOTA &amp; then don't get involved❗️

So let’s go 🌱🪴 https://t.co/YfRDQbAWnH",52,336,155
2021-04-24 11:54:12+00:00,stonksrus,"Sorry #Hashtag People
(even with $tsla there)

$Cashtag People WIN 1600 to 1200

#WAVES #ATOM #btt #ftt #cro #eth #btc #busd #neo #wbtc #fil #theta #sol #xlm #usdc #vet #link #bch #ltc #uni #dot #doge #ada #usdt #xrp #bnb #BONFIRE https://t.co/ionjBqsdGo",0,1,1
2021-03-07 10:54:46+00:00,liberty_pie,"Hodl Hodl any of this hashtag coins 
FOLLOW BACK

#BTC #Ethereum #ADA #Litecoin  #Trending #TRON #Uniswap #Binance #Chainlink #cryptocurrency #BNB #USDT #Tether #XRP #Doge",0,1,0
2021-02-18 09:10:59+00:00,IotaBullrun2020,"BULLISH🐮 or bearish🐻?

I found this🚀

What is your opinion on the patterns?

Leave your thoughts in a comment using the hashtag #IOTA / #MIOTA

#Chrysalis is coming 💎🦋💎

#bitcoin #altcoin $iota $miota $bitcoin #eth #ada #doge #xrp #altcoins #crypto #Triangle #BNB #BTC #USDT https://t.co/yeNJOnAkwz",4,9,3
2021-02-08 06:32:41+00:00,SoroushOsivand,"Don't use @BitPay wallet at all, it is big scam 
Share this hashtag : #dontusebitpay 

RT fast 

#bitcoin #binance #cryptowallet #scam #USDT #busd #eth",0,6,4
2020-12-02 10:27:23+00:00,YourBTCC,"#Christmas is coming!🎅

Hashtag your Christmas photo with #MerryCryptoChristmas2020 to share 200 USDT🎁

🎄Follow &amp; RT
🎄How to Join👉https://t.co/ZaVxudKLX4

#Christmas2020 #crypto #cryptocurrency #USDT #airdrops #giveaways #cryptogiveaways #cryptocurrencies #bitcoin #btc https://t.co/k5e6vdHK4i",5,9,8
2020-10-27 12:32:39+00:00,Godzcryptocoin8,"#psycheusd and #USD1 hashtag and mention @psycheusd 
#Psyche Coin has born as a faster and more user-friendly cryptocurrency that can be utilized by a child. Creating easy accessibility for everyone is our motivation.

https://t.co/v6os054Btf

#cryptocurrency
#usdt 
#StableCoin",0,1,0
2020-08-07 03:30:38+00:00,makoto_fx_note,"🎊  $1000 #USDT Bonus Giveaway! 🎊   We're giving away $100 USDT bonus to 10 lucky winners!    1️⃣Comment below which troop you're in 2️⃣Follow @WSOT_ and @Bybit_Official  3️⃣Like &amp;amp; RT with the hashtag, #WSOT 4️⃣Tag 2 friends  Register here:  
https://t.co/sw0M7K70bw
#ツイレポ",1,1,1
2020-08-06 05:31:10+00:00,WSOT_,"🎊  $1000 #USDT Bonus Giveaway! 🎊 

We're giving away $100 USDT bonus to 10 lucky winners!  

1️⃣Comment below which troop you're in
2️⃣Follow @WSOT_ and @Bybit_Official 
3️⃣Like &amp; RT with the hashtag, #WSOT
4️⃣Tag 2 friends

Register here: https://t.co/o8P6H5MZRi https://t.co/IWJAaBV4Em",282,272,179
2020-07-23 20:36:17+00:00,psycoGAW,"#Giveaway when I wake up 10 #USDT !
Just retweet, follow me, tag someone, comment with my hashtag and my sign
Goodluck &amp; goodnight my friends ❤️",215,81,93
2020-06-19 03:46:44+00:00,YourBTCC,"Win 200 USDT to Celebrate 9th Anniversary with BTCC🎁

⭐️Follow &amp; RT
⭐️Write a birthday card and hashtag #HappyBirthdayBTCC to win 50 USDT

Shoot a video to win 200 #USDT: https://t.co/x8R6qkEoxp

#crypto #airdrops #cryptocurrency #bounty #cryptogiveaways https://t.co/2BujuKoZEW",81,55,63
2020-06-12 03:42:06+00:00,YourBTCC,"🎂510 USDT #Giveaways to Celebrate 9th Anniversary with BTCC 🎉

⭐️Follow &amp; RT
⭐️Write a birthday card and hashtag #HappyBirthdayBTCC to win 50 USDT
⭐️More on shooting a video to win 200 #USDT: https://t.co/x8R6qkEoxp

#crypto #airdrops #cryptocurrency #bounty #cryptogiveaways https://t.co/edaO94Ne6C",82,57,57
2020-05-06 02:55:25+00:00,Airdrop_Broadc,"🎀Retweet Pinned Tweets  with comment #Hashtag #Keyword
👉#Bitcoin  #Bouns  #Giveaways #USDT 
 
🧧 Get free 5 #LBC
📢Read the rules carefully before participating
Fill form:https://t.co/WBIYE8x2ji

✅Result Check:https://t.co/U46ztxceZm

@cctip_io lucky 0.001 ETH 100 #Airdrops https://t.co/GRL23NdyJH",22,34,60
2020-02-04 22:24:30+00:00,GoPickUpCoin,"Twitter co-founder and CEO Jack Dorsey  Dorsey’s tweet showed that, now, whenever a Twitter user writes the Bitcoin or #BTC hashtag, an image showing its symbol appears next to it. #Tether #XRP #Crypto #USDT #LTC https://t.co/dOyE4Orv4B",0,0,0
2019-12-02 08:40:00+00:00,Abba641,# hashtag Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/oZuOCQejPy  @justinsuntron https://t.co/wu9gbPbRjB #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop,0,1,0
2019-05-12 14:21:00+00:00,rlewi,"#Hashtag

Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/JZgba4KCZC  @justinsuntron https://t.co/GbEBeqOdD8 #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop",0,0,0
2019-05-06 06:31:33+00:00,kongbi3,"#Hashtag
Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/gQBRBeEoUY  @justinsuntron https://t.co/I9QdQtLwDF #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop",0,0,0
2019-05-05 17:45:56+00:00,ANUSPARSH772,"Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/PnIOrIxj47  @justinsuntron https://t.co/J0kBGB44sQ #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop 
#hashtag #coinex",0,0,1
2019-05-05 11:44:40+00:00,Shafqat13456310,Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/Fyv348Z7qY  @justinsuntron https://t.co/z2tzDKDkWL #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop #Hashtag,0,0,0
2019-05-05 10:18:14+00:00,Abba641,# hashtag Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/oZuOCQejPy  @justinsuntron https://t.co/wu9gbPbRjB #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop,0,0,0
2019-05-04 21:26:45+00:00,Wewe1234388405,"#Hashtag
Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/sm8S210bmJ  @justinsuntron https://t.co/FTWwIyvpAW #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop",0,0,0
2019-03-07 22:38:37+00:00,CryptoTelecast,"This is still big news
#bitfinex #crypto #btc #usdt #tron #btt #bnb #money #USA #government #hashtag
https://t.co/V1QmZlhcA5",0,0,0
2019-03-04 13:40:06+00:00,JoeManzanares,"Coinbase Director Defends Exchange Over #DeleteCoinbase Hashtag
👉👉 https://t.co/49fivEVVXA  /By Adrian Barkley

#BlockChainNews
#BTC #BCH #LTC #ETH #XLM #EOS #ADA #DASH #XRP #ETC #XMR #USDT https://t.co/NdgTGl86jc",0,2,0
2018-10-15 18:50:38+00:00,DRFFowler,"#IfTheInternetCrashed trending hashtag, so today I think crypto community could have #IfTetherCrashed
 
Lets elaborate! What you think would happen?
#Tether #USDT #cryptocurrencies #Crypto #altcoins #ETH #BTC",0,0,0
